id,type,plan,rarity,limit_break,sp_r,start_b,spp,pb,lb,sp_lb,sp_lb20,n_lb,rest_b,gift_b,date_b,shop_b,class_b,s_guidance,ub,a_ub,m_ub,cb,ssr_cb,m_cb,a_cb,cond_cb,conc_cb,imp_cb,mot_cb,pres_cb,str_cb,fpp_cb,energy_cb,delete,a_delete,m_delete,replace,drink_acq,drink_buy,item_acq,cust,eb,event,char_name,ability1,ability2,ability3,ability4,event1,event2,event3,sig_desc
10001,2,0,1,0,0,22,20,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Careful Stretching,Gain +22 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","When Rest is selected, gain +6 Visual",Gain +10 Visual,Gain +10 P points,No Event,No Signature
10001,2,0,1,1,0,24,20,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Careful Stretching,Gain +24 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","When Rest is selected, gain +6 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10001,2,0,1,2,0,26,20,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Careful Stretching,Gain +26 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","When Rest is selected, gain +11 Visual",Gain +15 Visual,Gain +10 P points,No Event,No Signature
10001,2,0,1,3,0,28,20,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Careful Stretching,Gain +28 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +1 Visual","When Rest is selected, gain +11 Visual",Gain +17 Visual,Gain +10 P points,No Event,No Signature
10001,2,0,1,4,0,30,20,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Careful Stretching,Gain +30 Visual at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Visual Lesson, gain +3 Visual","When Rest is selected, gain +11 Visual",Gain +20 Visual,Gain +10 P points,No Event,No Signature
10002,0,0,1,0,0,22,20,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Full power, then",Gain +22 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","When Rest is selected, gain +6 Vocal",Gain +10 Vocal,Gain +10 P points,No Event,No Signature
10002,0,0,1,1,0,24,20,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Full power, then",Gain +24 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","When Rest is selected, gain +6 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10002,0,0,1,2,0,26,20,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"Full power, then",Gain +26 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","When Rest is selected, gain +11 Vocal",Gain +15 Vocal,Gain +10 P points,No Event,No Signature
10002,0,0,1,3,0,28,20,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,"Full power, then",Gain +28 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +1 Vocal","When Rest is selected, gain +11 Vocal",Gain +17 Vocal,Gain +10 P points,No Event,No Signature
10002,0,0,1,4,0,30,20,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"Full power, then",Gain +30 Vocal at the start of the produce,Gain +20 P points at the start of the produce,"At the end of a Vocal Lesson, gain +3 Vocal","When Rest is selected, gain +11 Vocal",Gain +20 Vocal,Gain +10 P points,No Event,No Signature
